name,prettyprint1,prettyprint2,order,magnitude,decimal,log,cat
degree,degree,degree,0,0,0,0,0
weighted_degree,weighted degree,weighted degree,1,4,0,0,0
ppi_degree,PPI degree,PPI degree,2,3,0,0,0
length,chain length,chain length,3,2,0,0,0
dostox,dosage toxicity,dosage toxicity,4,0,0,0,0
abundance,log(abundance),cellular abundance,5,3,0,1,0
conden,contact density,contact density,6,0,3,0,0
evorate,log(dN/dS),evolutionary rate (dN/dS),7,-2,3,1,0
dN,log(dN),dN,8,-3,3,1,0
dS,log(dS),dS,9,-1,3,1,0
mutant,mutant,mutant,-,-,-,-,1
