chain_id,pdb,uniprot,genes,location,function1,function2,species
0,1a1d.A,P20436,RPB8 YOR224C YOR50-14,Nucleus {ECO:0000269|PubMed:14562095}.,"DNA-dependent RNA polymerases catalyze the transcription. of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non-coding RNAs, and small RNAs, such as 5S rRNA and tRNAs, respectively. {ECO:0000269|PubMed:18160037, ECO:0000269|PubMed:24153182, ECO:0000269|PubMed:24153184}.",DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054],0
1,1a3w.A,P00549,CDC19 PYK1 YAL038W,,,ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743],0
2,1a4e.A,P15202,CTA1 YDR256C YD9320A.06C,Peroxisome.,Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide.,catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872],0
3,1a6r.A,Q01532,LAP3 BLH1 GAL6 YCP1 YNL239W N1118,Isoform Cytoplasmic: Cytoplasm.; SUBCELLULAR LOCATION: Isoform Mitochondrial: Mitochondrion.,"The normal physiological role of the enzyme is unknown, but it is not essential for the viability of yeast cells. Has aminopeptidase activity, shortening substrate peptides sequentially by 1 amino acid. Has bleomycin hydrolase activity, which can protect the cell from the toxic effects of bleomycin. Has homocysteine-thiolactonase activity, protecting the cell against homocysteine toxicity. Acts as a repressor in the GAL4 regulatory system, but this does not require either the peptidase or nucleic acid-binding activities. {ECO:0000269|PubMed:12555812, ECO:0000269|PubMed:16769724}.",cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; double-stranded DNA binding [GO:0003690]; mRNA binding [GO:0003729]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697],0
4,1afw.A,P27796,POT1 FOX3 POX3 YIL160C,Peroxisome. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,,acetyl-CoA C-acyltransferase activity [GO:0003988]; mRNA binding [GO:0003729],0
5,1aky.A,P07170,ADK1 AKY AKY1 AKY2 YDR226W YD9934.11,"Cytoplasm, cytosol {ECO:0000255|HAMAP-Rule:MF_03168, ECO:0000269|PubMed:12045196, ECO:0000269|PubMed:2850178}. Mitochondrion intermembrane space {ECO:0000255|HAMAP-Rule:MF_03168, ECO:0000269|PubMed:12045196, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:22984289, ECO:0000269|PubMed:2850178}. Note=90% cytoplasmic, 10% mitochondrial. {ECO:0000269|PubMed:2850178}.","Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways. {ECO:0000255|HAMAP-Rule:MF_03168, ECO:0000269|PubMed:18433446, ECO:0000269|PubMed:2848829, ECO:0000269|PubMed:2850178}.",adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524],0
6,1ap8.A,P07260,CDC33 TIF45 YOL139C,,Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation of protein synthesis and facilitates ribosome binding by inducing the unwinding of the mRNAs secondary structures.,mRNA cap binding [GO:0098808]; phosphatidylinositol-3-phosphate binding [GO:0032266]; translation initiation factor activity [GO:0003743],0
7,1asy.A,P04802,DPS1 APS APS1 YLL018C L1295,Cytoplasm.,,aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723],0
8,1b54.A,P38197,YBL036C YBL0413,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,"Pyridoxal 5'-phosphate (PLP)-binding protein, which may be involved in intracellular homeostatic regulation of pyridoxal 5'-phosphate (PLP), the active form of vitamin B6. {ECO:0000255|HAMAP-Rule:MF_03225}.",pyridoxal phosphate binding [GO:0030170],0
9,1bob.A,Q12341,HAT1 YPL001W LPA16W YP8132.12,Cytoplasm. Nucleus.,"Catalytic component of the histone acetylase B (HAT-B) complex. Acetylates 'Lys-12' of free histone H4 in the cytoplasm. The complex is also found in the nucleus, however it is not certain that it modifies histone H4 when packaged in chromatin. Histone H4 'Lys-12' acetylation is required for telomeric silencing. Has intrinsic substrate specificity that modifies lysine in recognition sequence GXGKXG. Involved in DNA double-strand break repair. {ECO:0000269|PubMed:10982821, ECO:0000269|PubMed:12417736, ECO:0000269|PubMed:14761951, ECO:0000269|PubMed:15099519, ECO:0000269|PubMed:24835250, ECO:0000269|PubMed:7559580}.",chromatin binding [GO:0003682]; H4 histone acetyltransferase activity [GO:0010485]; histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393],0
